Iteration,Experiment,Train_EnvstepsSoFar,Eval_AverageReturn,seed,batch size,learning rate
82,b1024_r0.007,104393.0,1000.0,seed_0,1024.0,0.007
83,b1024_r0.007,106393.0,1000.0,seed_0,1024.0,0.007
84,b1024_r0.007,108393.0,1000.0,seed_0,1024.0,0.007
85,b1024_r0.007,110393.0,1000.0,seed_0,1024.0,0.007
86,b1024_r0.007,112393.0,1000.0,seed_0,1024.0,0.007
87,b1024_r0.007,114393.0,1000.0,seed_0,1024.0,0.007
88,b1024_r0.007,116393.0,1000.0,seed_0,1024.0,0.007
89,b1024_r0.007,118393.0,1000.0,seed_0,1024.0,0.007
90,b1024_r0.007,120393.0,1000.0,seed_0,1024.0,0.007
91,b1024_r0.007,122393.0,1000.0,seed_0,1024.0,0.007
92,b1024_r0.007,124393.0,1000.0,seed_0,1024.0,0.007
93,b1024_r0.007,126393.0,1000.0,seed_0,1024.0,0.007
94,b1024_r0.007,128393.0,1000.0,seed_0,1024.0,0.007
95,b1024_r0.007,130393.0,1000.0,seed_0,1024.0,0.007
96,b1024_r0.007,132393.0,1000.0,seed_0,1024.0,0.007
97,b1024_r0.007,134393.0,1000.0,seed_0,1024.0,0.007
98,b1024_r0.007,136393.0,1000.0,seed_0,1024.0,0.007
99,b1024_r0.007,138393.0,1000.0,seed_0,1024.0,0.007
0,b1024_r0.007,1045.0,11.333333015441895,seed_1,1024.0,0.007
1,b1024_r0.007,2075.0,15.84615421295166,seed_1,1024.0,0.007
2,b1024_r0.007,3111.0,38.272727966308594,seed_1,1024.0,0.007
3,b1024_r0.007,4149.0,36.54545593261719,seed_1,1024.0,0.007
4,b1024_r0.007,5237.0,36.818180084228516,seed_1,1024.0,0.007
5,b1024_r0.007,6293.0,44.79999923706055,seed_1,1024.0,0.007
6,b1024_r0.007,7365.0,40.45454406738281,seed_1,1024.0,0.007
7,b1024_r0.007,8409.0,44.66666793823242,seed_1,1024.0,0.007
8,b1024_r0.007,9444.0,61.57143020629883,seed_1,1024.0,0.007
9,b1024_r0.007,10481.0,68.25,seed_1,1024.0,0.007
10,b1024_r0.007,11512.0,39.6363639831543,seed_1,1024.0,0.007
11,b1024_r0.007,12542.0,45.11111068725586,seed_1,1024.0,0.007
12,b1024_r0.007,13577.0,46.0,seed_1,1024.0,0.007
13,b1024_r0.007,14616.0,50.55555725097656,seed_1,1024.0,0.007
14,b1024_r0.007,15678.0,60.28571319580078,seed_1,1024.0,0.007
15,b1024_r0.007,16709.0,76.5,seed_1,1024.0,0.007
16,b1024_r0.007,17852.0,51.625,seed_1,1024.0,0.007
17,b1024_r0.007,18917.0,83.19999694824219,seed_1,1024.0,0.007
18,b1024_r0.007,19956.0,75.83333587646484,seed_1,1024.0,0.007
19,b1024_r0.007,21032.0,71.5,seed_1,1024.0,0.007
20,b1024_r0.007,22065.0,61.71428680419922,seed_1,1024.0,0.007
21,b1024_r0.007,23141.0,50.0,seed_1,1024.0,0.007
22,b1024_r0.007,24174.0,61.85714340209961,seed_1,1024.0,0.007
23,b1024_r0.007,25212.0,82.19999694824219,seed_1,1024.0,0.007
24,b1024_r0.007,26289.0,73.66666412353516,seed_1,1024.0,0.007
25,b1024_r0.007,27373.0,84.4000015258789,seed_1,1024.0,0.007
26,b1024_r0.007,28516.0,118.5,seed_1,1024.0,0.007
27,b1024_r0.007,29554.0,152.6666717529297,seed_1,1024.0,0.007
28,b1024_r0.007,30596.0,217.0,seed_1,1024.0,0.007
29,b1024_r0.007,31721.0,175.6666717529297,seed_1,1024.0,0.007
30,b1024_r0.007,32905.0,323.0,seed_1,1024.0,0.007
31,b1024_r0.007,34109.0,130.75,seed_1,1024.0,0.007
32,b1024_r0.007,35250.0,100.0,seed_1,1024.0,0.007
33,b1024_r0.007,36372.0,124.0,seed_1,1024.0,0.007
34,b1024_r0.007,37463.0,126.5,seed_1,1024.0,0.007
35,b1024_r0.007,38573.0,143.75,seed_1,1024.0,0.007
36,b1024_r0.007,39712.0,189.0,seed_1,1024.0,0.007
37,b1024_r0.007,40943.0,204.0,seed_1,1024.0,0.007
38,b1024_r0.007,42383.0,235.5,seed_1,1024.0,0.007
39,b1024_r0.007,43654.0,101.5999984741211,seed_1,1024.0,0.007
40,b1024_r0.007,44818.0,204.0,seed_1,1024.0,0.007
41,b1024_r0.007,46313.0,105.0,seed_1,1024.0,0.007
42,b1024_r0.007,47344.0,74.85713958740234,seed_1,1024.0,0.007
43,b1024_r0.007,48570.0,74.16666412353516,seed_1,1024.0,0.007
44,b1024_r0.007,49694.0,69.5,seed_1,1024.0,0.007
45,b1024_r0.007,50790.0,65.28571319580078,seed_1,1024.0,0.007
46,b1024_r0.007,51853.0,57.75,seed_1,1024.0,0.007
47,b1024_r0.007,52912.0,56.5,seed_1,1024.0,0.007
48,b1024_r0.007,53952.0,44.88888931274414,seed_1,1024.0,0.007
49,b1024_r0.007,54998.0,67.57142639160156,seed_1,1024.0,0.007
50,b1024_r0.007,56064.0,67.33333587646484,seed_1,1024.0,0.007
51,b1024_r0.007,57170.0,102.25,seed_1,1024.0,0.007
52,b1024_r0.007,58261.0,209.0,seed_1,1024.0,0.007
53,b1024_r0.007,59462.0,1000.0,seed_1,1024.0,0.007
54,b1024_r0.007,61462.0,1000.0,seed_1,1024.0,0.007
55,b1024_r0.007,63462.0,1000.0,seed_1,1024.0,0.007
56,b1024_r0.007,65462.0,1000.0,seed_1,1024.0,0.007
57,b1024_r0.007,67462.0,433.0,seed_1,1024.0,0.007
58,b1024_r0.007,68877.0,495.0,seed_1,1024.0,0.007
59,b1024_r0.007,69990.0,809.0,seed_1,1024.0,0.007
60,b1024_r0.007,71772.0,1000.0,seed_1,1024.0,0.007
61,b1024_r0.007,73776.0,1000.0,seed_1,1024.0,0.007
62,b1024_r0.007,75776.0,1000.0,seed_1,1024.0,0.007
63,b1024_r0.007,77776.0,1000.0,seed_1,1024.0,0.007
64,b1024_r0.007,79776.0,1000.0,seed_1,1024.0,0.007
65,b1024_r0.007,81776.0,1000.0,seed_1,1024.0,0.007
66,b1024_r0.007,83776.0,1000.0,seed_1,1024.0,0.007
67,b1024_r0.007,84812.0,1000.0,seed_1,1024.0,0.007
68,b1024_r0.007,86812.0,1000.0,seed_1,1024.0,0.007
69,b1024_r0.007,88812.0,1000.0,seed_1,1024.0,0.007
70,b1024_r0.007,90812.0,1000.0,seed_1,1024.0,0.007
71,b1024_r0.007,92812.0,1000.0,seed_1,1024.0,0.007
72,b1024_r0.007,94812.0,1000.0,seed_1,1024.0,0.007
73,b1024_r0.007,95925.0,76.875,seed_1,1024.0,0.007
74,b1024_r0.007,97015.0,750.0,seed_1,1024.0,0.007
75,b1024_r0.007,98660.0,138.3333282470703,seed_1,1024.0,0.007
76,b1024_r0.007,99716.0,75.33333587646484,seed_1,1024.0,0.007
77,b1024_r0.007,100867.0,86.80000305175781,seed_1,1024.0,0.007
78,b1024_r0.007,101921.0,179.25,seed_1,1024.0,0.007
79,b1024_r0.007,102967.0,231.0,seed_1,1024.0,0.007
80,b1024_r0.007,104001.0,144.0,seed_1,1024.0,0.007
81,b1024_r0.007,105154.0,216.25,seed_1,1024.0,0.007
82,b1024_r0.007,106226.0,295.5,seed_1,1024.0,0.007
83,b1024_r0.007,107369.0,202.5,seed_1,1024.0,0.007
84,b1024_r0.007,108566.0,571.0,seed_1,1024.0,0.007
85,b1024_r0.007,109597.0,914.0,seed_1,1024.0,0.007
86,b1024_r0.007,110634.0,419.0,seed_1,1024.0,0.007
87,b1024_r0.007,111867.0,415.0,seed_1,1024.0,0.007
88,b1024_r0.007,113119.0,245.0,seed_1,1024.0,0.007
89,b1024_r0.007,114153.0,262.5,seed_1,1024.0,0.007
90,b1024_r0.007,115521.0,104.5,seed_1,1024.0,0.007
91,b1024_r0.007,116679.0,92.5999984741211,seed_1,1024.0,0.007
92,b1024_r0.007,117964.0,131.5,seed_1,1024.0,0.007
93,b1024_r0.007,119194.0,87.5999984741211,seed_1,1024.0,0.007
94,b1024_r0.007,120220.0,64.71428680419922,seed_1,1024.0,0.007
95,b1024_r0.007,121305.0,72.0,seed_1,1024.0,0.007
96,b1024_r0.007,122375.0,119.5,seed_1,1024.0,0.007
97,b1024_r0.007,123467.0,121.19999694824219,seed_1,1024.0,0.007
98,b1024_r0.007,124675.0,1000.0,seed_1,1024.0,0.007
99,b1024_r0.007,126675.0,1000.0,seed_1,1024.0,0.007
0,b1024_r0.007,1029.0,13.0,seed_2,1024.0,0.007
1,b1024_r0.007,2063.0,21.052631378173828,seed_2,1024.0,0.007
2,b1024_r0.007,3097.0,27.733333587646484,seed_2,1024.0,0.007
3,b1024_r0.007,4129.0,36.6363639831543,seed_2,1024.0,0.007
4,b1024_r0.007,5234.0,45.66666793823242,seed_2,1024.0,0.007
5,b1024_r0.007,6295.0,38.818180084228516,seed_2,1024.0,0.007
6,b1024_r0.007,7333.0,33.769229888916016,seed_2,1024.0,0.007
7,b1024_r0.007,8359.0,36.54545593261719,seed_2,1024.0,0.007
8,b1024_r0.007,9394.0,39.54545593261719,seed_2,1024.0,0.007
9,b1024_r0.007,10428.0,50.20000076293945,seed_2,1024.0,0.007
10,b1024_r0.007,11491.0,41.400001525878906,seed_2,1024.0,0.007
11,b1024_r0.007,12529.0,43.400001525878906,seed_2,1024.0,0.007
12,b1024_r0.007,13597.0,42.599998474121094,seed_2,1024.0,0.007
13,b1024_r0.007,14645.0,44.66666793823242,seed_2,1024.0,0.007
14,b1024_r0.007,15760.0,57.57143020629883,seed_2,1024.0,0.007
15,b1024_r0.007,16795.0,59.875,seed_2,1024.0,0.007
16,b1024_r0.007,17828.0,91.5999984741211,seed_2,1024.0,0.007
17,b1024_r0.007,18872.0,63.0,seed_2,1024.0,0.007
18,b1024_r0.007,19974.0,88.5999984741211,seed_2,1024.0,0.007
19,b1024_r0.007,21055.0,104.0,seed_2,1024.0,0.007
20,b1024_r0.007,22102.0,95.0,seed_2,1024.0,0.007
21,b1024_r0.007,23191.0,95.80000305175781,seed_2,1024.0,0.007
22,b1024_r0.007,24231.0,86.19999694824219,seed_2,1024.0,0.007
23,b1024_r0.007,25293.0,116.5,seed_2,1024.0,0.007
24,b1024_r0.007,26341.0,153.0,seed_2,1024.0,0.007
